WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,WEATHER,ALTITUDE
32,18/02/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2176,241.7777778,49.356794,6.167606,THIONVILLE & TREVES,FRANCE,"RAIL SIDINQS, GAS WORKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
33,18/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2856,285.6,45.538718,4.675828,TREVES & THIONVILLE,FRANCE,"RAIL, STEEL WRKS, BARRACKS",OCHEY,48.58129185,5.95351696,,,,,1,,10000
34,18/02/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,0,,,,0,0,0,0,UNKNOWN,GERMANY,UNKNOWN (ABORTED RAID),,,,,,,,0,,9999
35,19/02/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2486,226,45.538718,4.675828,TREVES,FRANCE,BARRACKS & RAIL SIN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
36,19/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,0,,,,0,,49.233333,7,SAARBUCKEN,GERMANY,UNKNOWN (ABORTED RAID),OCHEY,48.58129185,5.95351696,,,,,0,,6500
37,19/02/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,2912,1456,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STN & STEEL WORKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
38,20/02/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1900,237.5,49.2037161,7.6047455,PIRMASENS,GERMANY,RAIL STN & FACTORIES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
39,26/02/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,3144,349.3333333,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
40,26/02/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,45.538718,4.675828,TREVES,FRANCE,RAIL STN & BARRACKS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
41,06/03/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,1,,,,395,395,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
42,09/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2532,230.1818182,50,8.271111,MAINZ,GERMANY,"FACTORIES, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
43,10/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2842,258.3636364,48.766667,9.183333,STUTTGART,GERMANY,"FACTORIES, RAILWAYS. BKS",TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
44,12/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2450,272.2222222,50.3566962,7.5996166,COBLENZ,GERMANY,"FACTORIES, STATION BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
45,13/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,8,,,,1984,248,47.9971865,7.8537668,FREIBURQ,GERMANY,"MUNIT DUMP, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,3,,10000
46,16/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,7,,,,1878,268.2857143,49.25,7.366667,ZWEIBRUCKEN,GERMANY,RAILWAYS & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
47,17/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2585,287.2222222,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,"FACTORIES, STN, SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
48,18/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,9,,,,2346,260.6666667,49.488333,8.464722,MANNHEIM,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
49,23/03/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3938,328.1666667,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
50,23/03/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,3088,280.7272727,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,10000
51,23/03/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1120,1120,49.7,6.583333,CONZ,GERMANY,"SIDINGS, STN, BRIDGES",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
52,24/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,3083,256.9166667,49.481111,8.435278,LUDWIGSHAFEN,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,2,,10000
53,24/03/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,14,,,,4773,340.9285714,49.115461,6.175875,METZ & THIONVILLE,FRANCE,METZ-LUXEMBOURG RAILWAY,OCHEY,48.58129185,5.95351696,,,,,0,,10000
54,24/03/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,3584,1194.666667,50.9406645,6.9599115,"COLOGNE, LUX, COURCELLES",GERMANY,"FACTORY, RAILWAY, STATION",,,,,,,,0,,10000
55,27/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2482,225.6363636,49.115461,6.175875,METZ,FRANCE,RAIL JTN & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
56,28/03/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2706,225.5,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAY STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
57,05/04/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
58,11/04/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
59,12/04/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY SIDINGS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
60,12/04/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1344,224,49.3968459,4.38328,JUNIVILLE,GERMANY,RAILWAY SIDINGS & STATION,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
61,12/04/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4032,1344,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,"JTN, SIDINGS, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
62,19/04/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1568,261.3333333,49.3968459,4.38328,JUNIVILLE,GERMANY,"JUNCTION, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
63,19/04/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,3,,,,4704,1568,49.3968459,4.38328,JUNIVILLE & BETHENVILLE,GERMANY,"JUNCTION, STN, SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
64,20/04/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,7,,,,2128,304,49.816994,2.800635,"CHAULNES. ROYE, HAM",FRANCE,RAIL STATIONS & JUNCTIONS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
65,20/04/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,2,,,,3136,1568,49.816994,2.800635,CHAULNES,FRANCE,RAIL STATION & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
66,21/04/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2688,298.6666667,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
67,02/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2476,225.0909091,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS & STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
68,02/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2016,224,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,10000
69,03/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,"CARLSHUTTE WRKS, RAIL, BLDG",TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
70,03/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,9,,,,2016,224,49.3968459,4.38328,"JUNIVILLE, ASFELD, AMAGNE",GERMANY,RAIL LINES & SIDINGS,VILLESENEUX,48.78108005,4.1631317,,,,,0,,6500
71,15/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,JUNCTION & RLWY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
72,16/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.233333,7,SAARBRUCKEN,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
73,17/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.115461,6.175875,METZ,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
74,17/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,10,,,,2240,224,49.115461,6.175875,"METZ, METZ-SABLON, THIONVILLE",FRANCE,RAIL STATIONS & WORKS,OCHEY,48.58129185,5.95351696,,,,,1,,6500
75,17/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,1,,,,1344,1344,49.356794,6.167606,THIONVILLE,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,10000
76,18/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,5,,,,1392,278.4,50.9406645,6.9599115,COLOGNE,GERMANY,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
77,20/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,10,,,,2258,225.8,49.193507,8.11288,LANDAU,GERMANY,RAIL STATION & BARRACKS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
78,20/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,11,,,,2464,224,49.356794,6.167606,"THIONVILLE, METZ-SABLON",FRANCE,RAIL STATIONS,OCHEY,48.58129185,5.95351696,,,,,0,,6500
79,20/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,6,,,,7392,1232,49.356794,6.167606,"THIONVILLE, METZ-SABLON, COBLENZ",FRANCE,RAIL STATIONS S BARRACKS,OCHEY,48.58129185,5.95351696,,,,,0,,10000
80,21/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.4124306,4.4437222,"CHARLEROI, NAMUR, METZ-SABLON",BELGIUM,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
81,21/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
82,21/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3248,216.5333333,49.233333,7,SAARBRUCKEN. THIONVILLE,GERMANY,RAIL STATION & SIDINGS,OCHEY,48.58129185,5.95351696,,,,,0,,6500
83,21/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,9084,1297.714286,49.356794,6.167606,"THIONVILLE, KARTHAUS",FRANCE,RAIL STATIONS & CHEMICAL,OCHEY,48.58129185,5.95351696,,,,,1,,10000
84,22/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,50.63042,5.60302,KINKEMPOIS,BELGIUM,RAIL STATION,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
85,22/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
86,22/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3408,284,49.204987,6.6962469,"KREUZWALD, SPITTEL",GERMANY,"ELECTRICAL STATION, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,6500
87,22/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6496,1299.2,49.204987,6.6962469,"KREUZWALD, MANNHEIM ",GERMANY,"ELECT STN, BASF",OCHEY,48.58129185,5.95351696,,,,,0,,10000
88,23/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STN & TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
89,24/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,8,,,,1792,224,51.9691868,5.6653948,HAGENDINGEN,GERMANY,THYSSEN BLAST FURNACES,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
90,27/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2128,212.8,48.905388,6.759462,BENSDORF,FRANCE,RAIL STATION & SIDINGS,TANTONVILLE,48.4705028,6.150884,,,,,1,,6500
91,27/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,12,,,,3424,285.3333333,49.204987,6.6962469,KREUZWALD. METZ-SABLON,GERMANY,ELECT PWR STN; RAIL,OCHEY,48.58129185,5.95351696,,,,,1,,6500
92,27/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,5,,,,6720,1344,49.488333,8.464722,"MANNHEIM, KREUZ, LANDAU, COURCELLES",GERMANY,"BASF, PWR STN, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,10000
93,28/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,10,,,,2240,224,48.905388,6.759462,BENSDORF,FRANCE,,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
94,28/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,3,,,,864,288,49.115461,6.175875,METZ-SABLONS,FRANCE,RAIL STN,OCHEY,48.58129185,5.95351696,,,,,1,,6500
95,29/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
96,29/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,6,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
97,30/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,12,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,10000
98,30/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,4,,,,896,224,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
99,30/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,6,,,,1728,288,49.115461,6.175875,METZ-SABLON,FRANCE,RAIL STATION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
100,30/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,7,,,,8552,1221.714286,,,,,RAIL STATIONS & SIDINGS,OCHEY,48.58129185,5.95351696,,,,,0,,9999
101,31/05/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2464,224,49.0080848,8.4037563,KARLSRUHE,GERMANY,RAIL STATION & WORKSHOPS,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
102,31/05/1918,,UK,RAF,NO. 99 SQDN,AIRCO DH9 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAY TRIANGLE,TANTONVILLE,48.4705028,6.150884,,,,,0,,6500
103,31/05/1918,,UK,RAF,NO. 100 SQDN,FE2B,,NIGHT,15,,,,3296,219.7333333,49.356794,6.167606,THIONVILLE & METZ,FRANCE,RAIL STATION & JUNCTION,OCHEY,48.58129185,5.95351696,,,,,0,,6500
104,31/05/1918,,UK,RAF,NO. 216 SQDN,HADLEY PAGE O/100,,NIGHT,4,,,,5600,1400,49.7022517,6.58261299,,,RAIL STATION & TRIANGLE,OCHEY,48.58129185,5.95351696,,,,,0,,10000
105,01/06/1918,,UK,RAF,NO. 55 SQDN,AIRCO DH4 DAY BOMBER,,DAY,11,,,,2240,203.6363636,49.7022517,6.58261299,KARTHAUS,ITALY,RAILWAY STN,TANTONVILLE,48.4705028,6.150884,,,,,1,,10000
